epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.9949,1.17647,2.52399,1.33337,0.48871,0.24574,0.24124,0.15684,1.27555,2.02044,1.32682,0.000127991,0.000127991,0.000127991
2,133.341,1.1574,1.76105,1.33164,0.50314,0.25918,0.25902,0.16058,1.34738,2.12796,1.41469,0.000252699,0.000252699,0.000252699
3,186.875,1.17669,1.63303,1.34599,0.45445,0.3605,0.32847,0.19687,1.38679,2.01921,1.43226,0.000373777,0.000373777,0.000373777
4,239.926,1.15051,1.49848,1.32096,0.54223,0.3775,0.40186,0.25281,1.31227,1.76247,1.37962,0.000368665,0.000368665,0.000368665
5,293.044,1.10554,1.35755,1.29605,0.5052,0.38877,0.3932,0.24454,1.27721,1.69976,1.35918,0.00036322,0.00036322,0.00036322
6,346.194,1.05544,1.214,1.26636,0.56259,0.46164,0.47152,0.30852,1.24297,1.50457,1.35074,0.000357775,0.000357775,0.000357775
7,399.269,1.02513,1.13423,1.24059,0.6999,0.48465,0.54883,0.37106,1.19197,1.41918,1.30221,0.00035233,0.00035233,0.00035233
8,452.463,0.99363,1.06092,1.22095,0.62078,0.5279,0.56275,0.38048,1.19186,1.39785,1.31679,0.000346885,0.000346885,0.000346885
9,505.352,0.97648,0.98752,1.20931,0.46689,0.50225,0.48538,0.32,1.18905,1.5505,1.30935,0.00034144,0.00034144,0.00034144
10,558.455,0.95404,0.96531,1.19772,0.67672,0.52128,0.57719,0.38695,1.15447,1.29882,1.29076,0.000335995,0.000335995,0.000335995
11,611.515,0.94973,0.92401,1.18834,0.69842,0.50155,0.5894,0.39722,1.15147,1.26138,1.28534,0.00033055,0.00033055,0.00033055
12,664.675,0.92751,0.87081,1.17749,0.68495,0.53913,0.59905,0.4069,1.11844,1.20095,1.25013,0.000325105,0.000325105,0.000325105
13,717.728,0.91417,0.8354,1.16391,0.67469,0.56883,0.6156,0.40864,1.13621,1.19225,1.26406,0.00031966,0.00031966,0.00031966
14,771.024,0.89933,0.81961,1.15906,0.66719,0.54976,0.59305,0.40438,1.11557,1.22458,1.24325,0.000314215,0.000314215,0.000314215
15,823.7,0.87848,0.79244,1.14972,0.66609,0.58457,0.60626,0.41023,1.08251,1.21945,1.22817,0.00030877,0.00030877,0.00030877
16,876.838,0.87682,0.77718,1.13969,0.66853,0.55832,0.61346,0.42234,1.09227,1.21816,1.22527,0.000303325,0.000303325,0.000303325
17,929.949,0.85177,0.74235,1.12802,0.73011,0.58119,0.62329,0.43926,1.08289,1.12115,1.20935,0.00029788,0.00029788,0.00029788
18,983.215,0.84678,0.72064,1.1263,0.72372,0.58369,0.6274,0.442,1.07715,1.15226,1.22382,0.000292435,0.000292435,0.000292435
19,1036.2,0.83738,0.69713,1.11611,0.73347,0.55782,0.64069,0.44812,1.07076,1.17733,1.20871,0.00028699,0.00028699,0.00028699
20,1089.37,0.83202,0.70284,1.12198,0.75965,0.57401,0.63594,0.44319,1.0606,1.10248,1.22087,0.000281545,0.000281545,0.000281545
21,1142.26,0.81536,0.67676,1.10611,0.71556,0.58079,0.63804,0.44023,1.08434,1.08063,1.24025,0.0002761,0.0002761,0.0002761
22,1195.13,0.81404,0.65996,1.10246,0.71745,0.61013,0.63421,0.43819,1.05215,1.08999,1.20386,0.000270655,0.000270655,0.000270655
23,1247.97,0.80604,0.64999,1.09952,0.72887,0.60232,0.64723,0.45094,1.05545,1.08853,1.20923,0.00026521,0.00026521,0.00026521
24,1301.08,0.78821,0.637,1.09577,0.74954,0.64121,0.65334,0.46005,1.06486,1.07965,1.22984,0.000259765,0.000259765,0.000259765
25,1354.23,0.79715,0.63435,1.09034,0.75241,0.59025,0.63703,0.44309,1.05522,1.11646,1.20909,0.00025432,0.00025432,0.00025432
26,1407.15,0.78817,0.61439,1.08543,0.8013,0.60041,0.66964,0.47187,1.04209,1.06482,1.2049,0.000248875,0.000248875,0.000248875
27,1460.37,0.776,0.59957,1.07917,0.73822,0.60415,0.63784,0.45206,1.04062,1.0904,1.19385,0.00024343,0.00024343,0.00024343
28,1513.24,0.77382,0.58974,1.07919,0.7351,0.62492,0.67165,0.47769,1.0182,1.01155,1.18681,0.000237985,0.000237985,0.000237985
29,1566.29,0.76156,0.57863,1.07235,0.71754,0.62317,0.6487,0.45898,1.0323,1.09525,1.19882,0.00023254,0.00023254,0.00023254
30,1619.17,0.75087,0.57673,1.06181,0.77564,0.61171,0.6697,0.47481,1.0153,1.03598,1.16092,0.000227095,0.000227095,0.000227095
31,1671.88,0.74765,0.55453,1.0623,0.79043,0.62851,0.67467,0.48052,1.02507,1.02999,1.19061,0.00022165,0.00022165,0.00022165
32,1725.21,0.74309,0.55787,1.06046,0.73495,0.62945,0.66889,0.47869,1.03282,1.04066,1.20998,0.000216205,0.000216205,0.000216205
33,1777.92,0.73604,0.54833,1.05961,0.7258,0.62949,0.68015,0.49103,1.01423,1.00334,1.19308,0.00021076,0.00021076,0.00021076
34,1831.14,0.7211,0.53322,1.05545,0.75983,0.61319,0.6748,0.48866,1.01077,1.04042,1.18822,0.000205315,0.000205315,0.000205315
35,1884.06,0.71613,0.5234,1.04911,0.75149,0.61542,0.6655,0.48143,1.01486,1.02274,1.1862,0.00019987,0.00019987,0.00019987
36,1936.81,0.70963,0.51566,1.04191,0.77434,0.6264,0.69273,0.49705,1.01015,0.99335,1.17638,0.000194425,0.000194425,0.000194425
37,1989.86,0.70263,0.51362,1.03926,0.76077,0.65411,0.6823,0.48974,1.00215,1.00089,1.17714,0.00018898,0.00018898,0.00018898
38,2042.9,0.70587,0.50841,1.03981,0.7576,0.63816,0.67469,0.48177,1.03348,1.0163,1.19978,0.000183535,0.000183535,0.000183535
39,2095.69,0.70148,0.50333,1.04062,0.80227,0.62332,0.70284,0.50783,1.02542,0.97607,1.19227,0.00017809,0.00017809,0.00017809
40,2148.77,0.69516,0.49288,1.03286,0.76628,0.63991,0.69854,0.50115,0.99417,0.96479,1.17818,0.000172645,0.000172645,0.000172645
41,2201.28,0.68855,0.48792,1.03263,0.7567,0.6278,0.67626,0.48499,1.01835,0.99733,1.18108,0.0001672,0.0001672,0.0001672
42,2254.05,0.68124,0.48441,1.02712,0.74008,0.66402,0.69682,0.50365,0.99892,0.99177,1.18854,0.000161755,0.000161755,0.000161755
43,2306.97,0.67454,0.47631,1.02488,0.73414,0.65447,0.68014,0.48608,1.00835,1.03496,1.18291,0.00015631,0.00015631,0.00015631
44,2359.61,0.67146,0.47257,1.02153,0.77217,0.64838,0.71719,0.51381,1.00392,0.99276,1.17696,0.000150865,0.000150865,0.000150865
45,2412.4,0.6662,0.45955,1.01691,0.77013,0.65533,0.71198,0.51651,0.99228,1.00491,1.17975,0.00014542,0.00014542,0.00014542
46,2465.39,0.65835,0.45171,1.01237,0.75867,0.65831,0.7091,0.51095,1.01194,1.00388,1.18321,0.000139975,0.000139975,0.000139975
47,2518.15,0.64677,0.44286,1.00746,0.75927,0.66347,0.70582,0.50468,1.00131,0.99593,1.17753,0.00013453,0.00013453,0.00013453
48,2571.13,0.64078,0.43787,0.99873,0.75748,0.64404,0.68932,0.49764,0.99567,1.0065,1.17568,0.000129085,0.000129085,0.000129085
49,2624,0.64659,0.44316,1.00636,0.76052,0.66046,0.71961,0.52369,1.00121,0.97011,1.1892,0.00012364,0.00012364,0.00012364
50,2677.18,0.63829,0.43113,1.00901,0.74756,0.6758,0.70134,0.50312,0.99089,0.98024,1.18734,0.000118195,0.000118195,0.000118195
51,2730.1,0.62845,0.41686,0.9936,0.78306,0.63228,0.70041,0.51131,0.99312,0.97243,1.17969,0.00011275,0.00011275,0.00011275
52,2783.04,0.6259,0.4247,0.99492,0.76905,0.65523,0.70936,0.51697,0.9939,0.96762,1.18162,0.000107305,0.000107305,0.000107305
53,2835.57,0.62529,0.42211,0.99151,0.71836,0.68009,0.69954,0.51514,0.97493,0.9571,1.16614,0.00010186,0.00010186,0.00010186
54,2888.52,0.61231,0.40875,0.98906,0.72976,0.67061,0.70891,0.51647,0.98007,0.96827,1.17026,9.6415e-05,9.6415e-05,9.6415e-05
55,2941.32,0.60448,0.39988,0.98537,0.74632,0.67794,0.71021,0.5167,0.98569,0.97553,1.17123,9.097e-05,9.097e-05,9.097e-05
56,2994.14,0.60223,0.39546,0.98172,0.7538,0.6784,0.72356,0.52958,0.98309,0.97562,1.17358,8.5525e-05,8.5525e-05,8.5525e-05
57,3047.04,0.59729,0.39332,0.97922,0.77071,0.64807,0.7067,0.51966,0.9799,0.97228,1.17387,8.008e-05,8.008e-05,8.008e-05
58,3099.73,0.59841,0.39064,0.98589,0.79031,0.63308,0.7127,0.5245,0.98458,0.96433,1.18787,7.4635e-05,7.4635e-05,7.4635e-05
59,3152.49,0.58939,0.38591,0.97596,0.7741,0.6498,0.7029,0.51896,0.97914,0.98705,1.18404,6.919e-05,6.919e-05,6.919e-05
60,3205.13,0.57688,0.37874,0.9705,0.75619,0.66741,0.70259,0.52155,0.97728,0.97022,1.18565,6.3745e-05,6.3745e-05,6.3745e-05
61,3258.99,0.55666,0.32046,0.95029,0.79322,0.63697,0.70113,0.5204,0.98293,0.98356,1.18611,5.83e-05,5.83e-05,5.83e-05
62,3311.5,0.54619,0.3103,0.94105,0.78865,0.63574,0.71832,0.53228,0.97954,0.99118,1.18887,5.2855e-05,5.2855e-05,5.2855e-05
63,3364.22,0.53551,0.30154,0.93693,0.76918,0.64856,0.70128,0.51761,0.98018,0.97759,1.19158,4.741e-05,4.741e-05,4.741e-05
64,3416.85,0.52712,0.2981,0.93394,0.76399,0.66956,0.704,0.5227,0.98519,0.98846,1.19512,4.1965e-05,4.1965e-05,4.1965e-05
65,3469.3,0.52451,0.29578,0.93134,0.79802,0.63617,0.71483,0.52722,0.9857,0.98808,1.19816,3.652e-05,3.652e-05,3.652e-05
66,3521.83,0.51572,0.28806,0.93017,0.76468,0.66128,0.71622,0.52916,0.98262,0.9861,1.19158,3.1075e-05,3.1075e-05,3.1075e-05
67,3574.3,0.51132,0.28564,0.92429,0.75599,0.66189,0.71558,0.52827,0.9821,0.99826,1.19554,2.563e-05,2.563e-05,2.563e-05
